FPR, TPR
0.0, 0.0666666666667
0.0, 0.133333333333
0.0, 0.2
0.0, 0.266666666667
0.0, 0.333333333333
0.0, 0.4
0.0, 0.466666666667
0.001, 0.466666666667
0.001, 0.533333333333
0.002, 0.533333333333
0.003, 0.533333333333
0.004, 0.533333333333
0.005, 0.533333333333
0.006, 0.533333333333
0.007, 0.533333333333
0.008, 0.533333333333
0.009, 0.533333333333
0.01, 0.533333333333
0.011, 0.533333333333
0.011, 0.6
0.012, 0.6
0.013, 0.6
0.014, 0.6
0.015, 0.6
0.016, 0.6
0.017, 0.6
0.018, 0.6
0.019, 0.6
0.02, 0.6
0.021, 0.6
0.022, 0.6
0.023, 0.6
0.024, 0.6
0.025, 0.6
0.026, 0.6
0.027, 0.6
0.028, 0.6
0.029, 0.6
0.03, 0.6
0.031, 0.6
0.032, 0.6
0.032, 0.666666666667
0.033, 0.666666666667
0.034, 0.666666666667
0.035, 0.666666666667
0.036, 0.666666666667
0.037, 0.666666666667
0.038, 0.666666666667
0.039, 0.666666666667
0.04, 0.666666666667
0.041, 0.666666666667
0.042, 0.666666666667
0.043, 0.666666666667
0.044, 0.666666666667
0.045, 0.666666666667
0.046, 0.666666666667
0.047, 0.666666666667
0.048, 0.666666666667
0.049, 0.666666666667
0.05, 0.666666666667
0.05, 0.733333333333
0.051, 0.733333333333
0.052, 0.733333333333
0.053, 0.733333333333
0.054, 0.733333333333
0.055, 0.733333333333
0.056, 0.733333333333
0.057, 0.733333333333
0.058, 0.733333333333
0.059, 0.733333333333
0.06, 0.733333333333
0.061, 0.733333333333
0.062, 0.733333333333
0.063, 0.733333333333
0.064, 0.733333333333
0.065, 0.733333333333
0.066, 0.733333333333
0.067, 0.733333333333
0.068, 0.733333333333
0.069, 0.733333333333
0.07, 0.733333333333
0.071, 0.733333333333
0.072, 0.733333333333
0.073, 0.733333333333
0.073, 0.8
0.074, 0.8
0.075, 0.8
0.076, 0.8
0.077, 0.8
0.078, 0.8
0.079, 0.8
0.08, 0.8
0.081, 0.8
0.082, 0.8
0.083, 0.8
0.084, 0.8
0.085, 0.8
0.086, 0.8
0.087, 0.8
0.088, 0.8
0.089, 0.8
0.09, 0.8
0.091, 0.8
0.092, 0.8
0.093, 0.8
0.094, 0.8
0.095, 0.8
0.096, 0.8
0.097, 0.8
0.098, 0.8
0.099, 0.8
0.1, 0.8
0.101, 0.8
0.102, 0.8
0.103, 0.8
0.104, 0.8
0.105, 0.8
0.106, 0.8
0.107, 0.8
0.108, 0.8
0.109, 0.8
0.11, 0.8
0.111, 0.8
0.112, 0.8
0.113, 0.8
0.114, 0.8
0.115, 0.8
0.116, 0.8
0.117, 0.8
0.118, 0.8
0.119, 0.8
0.12, 0.8
0.121, 0.8
0.122, 0.8
0.123, 0.8
0.124, 0.8
0.125, 0.8
0.126, 0.8
0.127, 0.8
0.128, 0.8
0.129, 0.8
0.13, 0.8
0.131, 0.8
0.132, 0.8
0.133, 0.8
0.134, 0.8
0.135, 0.8
0.136, 0.8
0.137, 0.8
0.138, 0.8
0.139, 0.8
0.14, 0.8
0.141, 0.8
0.142, 0.8
0.143, 0.8
0.144, 0.8
0.145, 0.8
0.146, 0.8
0.147, 0.8
0.148, 0.8
0.149, 0.8
0.15, 0.8
0.151, 0.8
0.152, 0.8
0.153, 0.8
0.154, 0.8
0.155, 0.8
0.156, 0.8
0.157, 0.8
0.158, 0.8
0.159, 0.8
0.16, 0.8
0.161, 0.8
0.162, 0.8
0.163, 0.8
0.164, 0.8
0.165, 0.8
0.166, 0.8
0.167, 0.8
0.168, 0.8
